file,sub,enum_correct,enum_attempted,soniox_correct,soniox_attempted,engine,machine_correct,machine_attempted,item_agree,n_items,status,enum_correct_29s,soniox_correct_29s
AA_4e25386a-f7bc-4a1,orf_eng,45.0,56.0,22,59,speechace-29s,9,24,0.5833333333333334,24,200,49,10
AA_4f99136d-8961-4e8,idwrd_eng,11.0,19.0,0,49,speechace-29s,9,49,0.6530612244897959,49,200,24,0
AA_519d13b2-37f9-45c,idwrd_eng,0.0,1.0,0,49,speechace-29s,2,19,0.15789473684210525,19,200,48,0
AA_51a660bb-7db5-4a2,idwrd_eng,16.0,22.0,30,49,speechace-29s,3,29,0.41379310344827586,29,200,18,20
AA_51a660bb-7db5-4a2,orf_eng,0.0,5.0,15,59,speechace-29s,4,19,0.47368421052631576,19,200,54,11
AA_52be51a8-a34a-4d0,idwrd_eng,30.0,50.0,0,49,speechace-29s,1,49,0.42857142857142855,49,200,29,0
AA_52be51a8-a34a-4d0,orf_eng,54.0,60.0,3,59,speechace-29s,8,59,0.23728813559322035,59,200,53,3
AA_5536eaa7-896f-423,idwrd_eng,49.0,50.0,38,49,speechace-29s,23,49,0.4897959183673469,49,200,48,38
AA_5536eaa7-896f-423,orf_eng,58.0,60.0,51,59,speechace-29s,25,59,0.423728813559322,59,200,57,51
AA_55913fb1-5a12-42a,idwrd_eng,50.0,50.0,15,49,speechace-29s,9,20,0.45,20,200,31,11
AA_55913fb1-5a12-42a,orf_eng,57.0,60.0,28,59,speechace-29s,13,28,0.4642857142857143,28,200,28,14
AA_577dd2ed-5436-421,idwrd_eng,36.0,41.0,11,49,speechace-29s,8,32,0.25,32,200,44,8
AA_5d26dbc5-d348-4c6,idwrd_eng,50.0,50.0,13,49,speechace-29s,7,42,0.16666666666666666,42,200,49,13
AA_5d26dbc5-d348-4c6,orf_eng,60.0,60.0,27,59,speechace-29s,11,50,0.22,50,200,50,20
AA_5d2c0d0d-94a3-4cd,idwrd_eng,44.0,50.0,19,49,speechace-29s,10,23,0.34782608695652173,23,200,44,18
AA_5d2c0d0d-94a3-4cd,orf_eng,1.0,6.0,5,59,speechace-29s,5,11,0.36363636363636365,11,200,54,5
AA_5dce002b-57cd-4c9,idwrd_eng,49.0,50.0,20,49,speechace-29s,12,42,0.2619047619047619,42,200,48,20
AA_5dce002b-57cd-4c9,orf_eng,57.0,60.0,47,59,speechace-29s,14,39,0.38461538461538464,39,200,47,31
AA_5e864c07-25df-4cc,idwrd_eng,49.0,50.0,43,49,speechace-29s,28,49,0.5918367346938775,49,200,48,36
AA_5e864c07-25df-4cc,orf_eng,50.0,60.0,48,59,speechace-29s,22,43,0.5348837209302325,43,200,36,34
AA_62299df1-9cd3-496,idwrd_eng,1.0,6.0,0,49,speechace-29s,1,49,0.12244897959183673,49,200,44,0
AA_62299df1-9cd3-496,orf_eng,1.0,7.0,2,59,speechace-29s,3,22,0.6818181818181818,22,200,45,3
AA_68b78def-9aaa-4e3,idwrd_eng,15.0,18.0,10,49,speechace-29s,7,49,0.32653061224489793,49,200,40,10
